original float_not_lt/0/0=7; jadx float_not_lt/0/0=9
original float_not_lt/0/1=7; jadx float_not_lt/0/1=9
original float_not_lt/0/2=7; jadx float_not_lt/0/2=9
original float_not_lt/0/3=7; jadx float_not_lt/0/3=9
original float_not_lt/0/4=7; jadx float_not_lt/0/4=9
original float_not_lt/0/5=7; jadx float_not_lt/0/5=9
original float_not_lt/0/6=7; jadx float_not_lt/0/6=9
original float_not_lt/0/7=7; jadx float_not_lt/0/7=9
original float_not_lt/0/8=7; jadx float_not_lt/0/8=9
original float_not_lt/1/0=7; jadx float_not_lt/1/0=9
original float_not_lt/2/0=7; jadx float_not_lt/2/0=9
original float_not_lt/3/0=7; jadx float_not_lt/3/0=9
original float_not_lt/4/0=7; jadx float_not_lt/4/0=9
original float_not_lt/5/0=7; jadx float_not_lt/5/0=9
original float_not_lt/6/0=7; jadx float_not_lt/6/0=9
original float_not_lt/7/0=7; jadx float_not_lt/7/0=9
original float_not_lt/8/0=7; jadx float_not_lt/8/0=9
original double_not_lt/0/0=7; jadx double_not_lt/0/0=9
original double_not_lt/0/1=7; jadx double_not_lt/0/1=9
original double_not_lt/0/2=7; jadx double_not_lt/0/2=9
original double_not_lt/0/3=7; jadx double_not_lt/0/3=9
original double_not_lt/0/4=7; jadx double_not_lt/0/4=9
original double_not_lt/0/5=7; jadx double_not_lt/0/5=9
original double_not_lt/0/6=7; jadx double_not_lt/0/6=9
original double_not_lt/0/7=7; jadx double_not_lt/0/7=9
original double_not_lt/0/8=7; jadx double_not_lt/0/8=9
original double_not_lt/1/0=7; jadx double_not_lt/1/0=9
original double_not_lt/2/0=7; jadx double_not_lt/2/0=9
original double_not_lt/3/0=7; jadx double_not_lt/3/0=9
original double_not_lt/4/0=7; jadx double_not_lt/4/0=9
original double_not_lt/5/0=7; jadx double_not_lt/5/0=9
original double_not_lt/6/0=7; jadx double_not_lt/6/0=9
original double_not_lt/7/0=7; jadx double_not_lt/7/0=9
original double_not_lt/8/0=7; jadx double_not_lt/8/0=9
